twitter_id	party
819992522109894658	R
212262370	R
888031054141022209	R
842072478834909184	R
836305915452272641	R
11522502	R
18906561	R
956283913835614208	R
935148134505828353	R
828613457020870657	R
819980276570976256	R
988573326376427520	R
826065858548133888	R
799764016885329921	R
1024390184090181633	R
862405301693296640	R
818910970567344128	R
939091	D
15007149	D
1076899938	D
129928278	D
3290070855	R
821446682860732416	D
821763194372943872	D
4797361833	D
788075094711107584	D
19682187	D
17856665	D
821769014691168256	D
30043495	D
1031591	D
423966076	D
820830366713991168	R
1530850933	D
2328937074	R
1615463502	D
279036722	D
1541518434	D
2962891515	R
2916086925	D
76452765	R
3018670151	D
76649729	R
2964287128	R
233842454	R
85689484	R
3609064098	R
2929491549	R
818975124460335106	R
603083228	R
1074518754	D
816131319033950208	R
93965901	R
1089334250	R
303633791	D
202206694	R
19929362	R
239949176	D
1531521632	D
133832049	D
950783972	D
815241612154417152	R
2962868158	D
816652616625168388	R
26051676	R
2485713498	R
148006729	R
249410485	D
110545675	R
278145569	R
2965083477	R
15954997	D
278124059	D
4049197462	D
21269970	R
558769636	D
15808765	D
5558312	R
2964877294	R
231108733	D
19926675	R
17996269	R
2279098645	R
243418245	R
237299871	R
1074101017	R
823552974253342721	D
24768753	D
44251742	D
20467163	R
2862577383	R
234812598	R
817138492614524928	R
15751083	R
21157904	R
1092979962	D
432676344	D
2253968388	R
22545491	R
117501995	D
193794406	R
75785294	D
816157667882373120	D
1222257180	D
109071031	D
249787913	D
199325935	D
2973870195	R
18030431	R
776664410	D
171598736	D
55677432	R
756123897783808000	D
231510077	D
237750442	R
17800215	R
98471035	R
193732179	D
462143773	D
23201727	D
240812994	D
584912320	D
163570705	D
23725826	R
555474658	R
19407835	R
162069635	D
23124635	R
1058256326	R
1060487274	R
19726613	R
838462994	R
2933760046	R
295685416	R
78445977	D
138770045	D
1074412920	R
15324851	D
22523087	D
73303753	R
13218102	R
815985039485837312	D
811313565760163844	D
245451804	D
484129385	R
968650362	R
85396297	D
28267055	R
600463589	R
233693291	R
38970940	D
111635980	D
1074480192	R
210926192	D
14904437	R
787373558	D
2853309155	R
26057209	R
11651202	R
742735530287304704	R
789244177	D
993153006	R
432771620	D
252249233	D
28599820	D
426028646	D
140519774	D
995193054	D
21346398	R
242376736	R
487297085	R
2968007206	D
235312723	R
137794015	D
37094727	R
2970279814	D
153944899	D
216503958	D
3353670647	R
39249305	D
1058520120	D
234022257	R
38520853	R
1883356866	R
815952318487298048	R
247334603	D
14135426	D
2914515430	R
164007407	D
291756142	R
2856787757	R
249348006	D
817076257770835968	D
854715071116849157	R
1060984272	D
90639372	D
17896154	R
815931811348017152	R
378631423	D
806583915012046854	R
323490669	R
816303263586914304	R
16056306	R
235190657	R
237312687	R
18805303	R
1080509366	D
16256269	R
1077121945	D
171968009	D
153486399	D
26637348	D
818948638890217473	R
815966620300480514	R
2966570782	D
88806753	D
235217558	R
818460870573441028	R
3420965229	R
234822928	R
72198806	D
22055226	R
2371339658	D
818536152588238849	D
819744763020775425	R
37920978	R
240760644	R
431105217	D
237348797	R
432895323	R
161743731	R
10615232	R
2951574214	R
29766367	R
190328374	R
156333623	D
378584930	D
234057152	R
28602948	D
2976606250	R
1908143071	R
36948268	D
235373000	D
23712174	R
960962340	R
30354991	D
237763317	R
946549322	D
2433737761	D
262756641	R
1068499286	D
183062944	D
460376288	D
266133081	R
18566912	R
19168067	R
242926427	R
2975091705	R
33576489	D
843636970538618880	R
2953974395	R
31611298	D
92186819	D
382791093	R
1058460818	R
811986281177772032	R
266719387	D
935033864	R
334894942	D
233949261	R
237814920	R
1305596696	R
2963445730	R
262192574	R
7270292	R
78403308	R
22509548	R
80612021	D
815733290955112448	D
467823431	D
1635375612	R
100884451	R
168502762	D
24745957	D
103761467	R
233737858	R
61553835	R
